propertyid,attrition,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon
10314621,0,37.594105,-122.40536,1,1.0,72.07,95,10,10,9,10,10,10,15.666667,20.666666,28.5,22.0,28.0,27.0,19.0,30.0,15.5,31.0,21.0,27.0,22
16694478,1,37.787712,-122.23763,2,1.0,59.029999,84,8,8,8,9,8,8,0.0,0.0,9.5,6.0,25.0,22.0,2.0,26.0,28.0,31.0,2.0,0.0,15
2656392,0,37.758797,-122.26353,1,1.0,60.150002,97,10,10,10,10,10,10,17.75,23.25,25.5,24.333334,27.333334,26.0,27.666666,22.0,17.5,19.75,20.75,21.25,44
15231513,0,37.817924,-122.25932,1,1.0,117.17,94,9,10,10,10,9,9,16.0,18.5,26.0,1.0,13.0,10.0,2.0,7.0,30.0,18.5,24.0,14.5,17
17225268,0,37.781296,-122.40512,1,1.0,373.26999,96,10,10,10,10,10,9,6.0,17.0,14.0,12.0,10.0,21.0,28.0,26.0,24.0,7.0,20.0,14.0,13
9512660,0,37.70528,-122.45255,1,2.0,68.110001,95,10,10,10,10,9,9,9.666667,9.666667,8.333333,0.0,14.0,16.0,17.5,17.0,17.0,13.5,6.5,6.0,27
14238269,0,37.994446,-122.57327,1,1.0,88.82,96,10,10,10,10,10,10,10.0,9.0,11.5,14.0,17.0,17.0,18.0,15.0,12.0,17.5,20.0,6.0,18
837490,0,37.791096,-122.43382,1,1.0,139.59,92,10,10,9,10,10,10,1.6666666,0.5,4.0,0.0,10.333333,6.5,21.0,8.0,7.5,4.5,2.3333333,0.0,27
1301798,0,37.769077,-122.42032,1,1.0,70.080002,92,10,10,9,10,9,9,31.0,24.0,29.5,26.333334,29.0,28.333334,29.333334,25.333334,29.666666,30.0,26.75,22.75,41
4039061,0,37.453022,-122.23476,1,1.0,145.27,97,10,10,10,10,10,10,16.75,17.75,17.0,12.0,23.666666,27.666666,18.333334,21.0,17.5,17.75,15.0,10.5,43
3185811,0,37.774429,-122.19145,1,1.0,44.66,92,10,9,9,10,8,9,10.666667,15.666667,27.666666,10.5,24.0,28.5,25.0,24.75,24.75,26.75,14.0,19.0,37
14734017,0,37.892021,-121.61181,1,1.0,92.360001,100,10,10,10,10,10,10,2.0,6.0,21.0,22.0,15.0,17.0,10.0,8.5,12.5,17.5,17.5,10.5,20
1433992,0,37.583141,-122.37771,1,1.0,147.94,96,10,10,10,10,10,10,6.0,0.5,5.5,3.0,7.0,10.5,6.5,16.0,8.5,9.0,10.0,8.5,22
5325355,0,37.754669,-122.44266,1,1.5,213.09,99,10,10,10,10,10,10,3.0,10.25,12.25,7.0,6.3333335,14.0,7.0,5.6666665,13.333333,10.0,10.333333,7.3333335,38
13294726,0,37.777729,-122.19665,1,1.5,63.849998,100,10,10,10,10,10,10,6.5,9.0,1.0,5.0,0.0,13.5,15.0,6.0,17.0,10.0,4.5,1.5,20
2575423,1,37.911659,-121.99906,1,1.0,125.0,100,10,10,9,10,10,10,9.333333,0.0,0.0,0.0,26.0,6.6666665,30.0,15.5,4.5,15.0,0.0,2.5,28
3145268,0,37.883545,-122.27428,1,1.0,70.260002,98,10,10,10,10,10,10,0.0,27.0,18.0,11.5,21.0,16.5,22.5,24.5,19.5,23.5,25.5,24.5,22
213532,0,37.770847,-122.44811,1,2.0,88.330002,88,9,9,9,10,9,9,14.75,15.5,23.25,25.333334,29.0,27.333334,28.666666,27.75,27.0,27.0,15.25,16.25,44
8565105,0,37.787346,-122.40782,1,1.0,86.690002,86,9,9,9,9,10,9,14.333333,20.666666,17.666666,13.5,10.0,7.0,10.5,16.0,10.0,19.5,4.0,17.666666,27
4344169,0,37.861244,-122.29465,3,1.0,213.21001,94,10,10,9,10,9,10,12.666667,24.0,19.333334,20.0,14.0,17.5,20.0,23.5,23.5,16.0,11.75,12.25,30
14684733,0,37.800629,-122.40608,0,1.0,170.52,99,10,10,10,10,10,10,12.5,12.5,27.0,30.0,31.0,17.0,2.0,2.5,8.5,9.5,14.0,25.0,19
12115848,0,37.855072,-122.27389,3,2.5,274.54999,95,10,10,9,10,9,10,24.5,15.5,30.0,14.5,23.5,23.0,21.0,25.0,21.5,25.5,23.0,18.0,24
15942942,1,37.97578,-122.54832,1,1.0,70.470001,96,10,10,10,10,10,10,9.0,4.0,11.0,4.0,22.0,21.0,22.0,30.0,11.0,8.0,3.0,3.0,13
3073393,0,37.762589,-122.42464,3,1.0,437.34,93,9,9,9,10,10,9,15.0,14.75,14.5,16.666666,20.333334,20.333334,19.666666,20.666666,18.75,19.75,15.25,15.5,43
9157773,0,37.926716,-122.52951,2,1.0,74.589996,93,10,10,10,10,10,9,17.666666,12.0,17.5,21.0,7.5,15.0,22.5,17.0,11.0,14.0,9.0,8.5,24
2645847,0,37.583244,-122.33575,1,1.0,131.62,96,10,10,10,10,10,10,12.0,6.0,12.0,15.0,12.5,11.0,18.0,2.5,17.0,3.6666667,14.0,16.5,34
11972714,0,37.896759,-122.63768,6,5.0,1436.96,100,10,10,10,10,10,10,8.5,20.0,25.0,6.0,11.5,5.0,15.0,16.5,14.5,7.5,14.5,23.0,22
18091317,0,37.793499,-122.41459,2,1.0,472.56,96,10,10,10,10,10,9,27.0,24.0,24.0,11.0,27.0,26.0,30.0,25.0,28.0,26.0,22.0,23.0,12
3373175,0,37.457962,-122.14854,1,1.0,167.56,98,10,10,10,10,10,10,17.5,15.5,20.5,7.0,9.333333,14.0,12.0,12.333333,10.0,14.0,9.0,21.0,38
987288,0,37.838432,-122.28671,2,2.0,255.7,95,10,10,10,10,9,9,9.0,4.3333335,7.6666665,11.0,17.0,16.0,19.0,15.5,10.0,8.5,1.0,8.333333,38
4986716,0,37.927101,-122.39171,1,1.0,91.75,93,10,9,10,10,10,10,8.0,11.333333,20.25,10.333333,13.0,10.0,26.0,30.5,22.0,28.5,10.333333,5.5,35
1487398,1,37.760479,-122.4063,0,1.0,181.53,95,10,10,9,10,9,9,12.0,16.0,13.0,13.333333,18.333334,21.333334,20.333334,19.75,15.0,8.25,18.5,5.75,39
10235526,0,37.779102,-122.40413,1,1.0,213.27,98,10,10,10,10,9,9,8.333333,16.666666,22.333334,14.0,15.0,7.0,10.5,16.5,20.0,12.5,26.0,23.0,27
4180140,1,37.845196,-122.24894,1,1.0,82.739998,91,10,9,9,9,10,9,3.5,8.5,11.0,10.5,9.5,7.3333335,18.666666,13.0,4.6666665,1.0,2.6666667,8.0,30
16057724,0,37.518192,-122.28865,0,1.0,103.35,100,10,10,10,10,10,10,18.0,25.0,27.0,28.0,23.0,28.0,31.0,29.0,27.0,29.0,12.5,26.0,15
11949198,0,37.764061,-122.43392,1,1.0,175.50999,99,10,10,10,10,10,10,19.0,16.0,8.0,0.0,9.0,2.0,6.0,14.5,20.0,12.0,6.0,2.5,20
13914747,1,37.708397,-122.42759,3,2.0,348.76999,89,10,9,9,9,8,9,23.0,16.0,12.0,15.0,17.0,9.0,14.0,25.0,15.0,16.0,5.0,5.0,13
5478359,1,37.751743,-122.43312,1,1.0,131.8,97,10,10,10,10,10,10,21.5,0.0,0.0,15.666667,15.0,18.333334,22.333334,18.333334,16.666666,18.333334,11.5,9.0,31
8651483,1,37.773338,-122.42245,2,2.5,508.95001,96,10,9,9,9,9,8,6.0,15.0,11.0,8.0,6.0,8.5,19.0,3.0,0.0,3.5,11.0,3.0,20
